handle,text,fav,location,
@RealDonaldTrump,'General Kelly is doing a great job at the border. Numbers are way down. Many are not even trying to come in anymore.',86087,None,""
@RealDonaldTrump,"'Democrats are smiling in D.C. that the Freedom Caucus, with the help of Club For Growth and Heritage, have saved Planned Parenthood &amp; Ocare!'",57682,None,""
@RealDonaldTrump,'Thanks you for all of the Trump Rallies today. Amazing support. We will all MAKE AMERICA GREAT AGAIN!',110030,None,""
@RealDonaldTrump,'Watch @JudgeJeanine on @FoxNews tonight at 9:00 P.M.',47659,None,""
@RealDonaldTrump,'ObamaCare will explode and we will all get together and piece together a great healthcare plan for THE PEOPLE. Do not worry!',98910,None,""
@RealDonaldTrump,'Happy #MedalOfHonorDay to our heroes! \\u27a1\\ufe0fhttps://t.co/juAB1RmMh0 https://t.co/Sw5ea1OwUf',63726,None,""
@RealDonaldTrump,"'Today, I was thrilled to announce a commitment of $25 BILLION &amp; 20K AMERICAN JOBS over the next 4 years. THANK YOU\\u2026 https://t.co/nWJ1hNmzoR'",85464,None,""
@RealDonaldTrump,"'Today, I was pleased to announce the official approval of the presidential permit for the #KeystonePipeline. A grea\\u2026 https://t.co/GWNo2XAueg'",63885,None,""
@RealDonaldTrump,"'The irony is that the Freedom Caucus, which is very pro-life and against Planned Parenthood, allows P.P. to continue if they stop this plan!'",59729,None,""
@RealDonaldTrump,"'After seven horrible years of ObamaCare (skyrocketing premiums &amp; deductibles, bad healthcare), this is finally your chance for a great plan!'",66039,None,""
@RealDonaldTrump,'It was an honor to welcome so many truckers and trucking industry leaders to the @WhiteHouse today! https://t.co/M1veooVBNE',75951,None,""
@RealDonaldTrump,'We are taking action to #RepealANDReplace #Obamacare! Contact your Rep &amp; tell them you support #AHCA. #PassTheBill\\u2026 https://t.co/5lsrDJXfz',39760,None,""
@RealDonaldTrump,"'A great American, Kurt Cochran, was killed in the London terror attack. My prayers and condolences are with his family and friends.'",115745,None,""
@RealDonaldTrump,'Just watched the totally biased and fake news reports of the so-called Russia story on NBC and ABC. Such dishonesty!',93772,None,""
@RealDonaldTrump,'Spoke to U.K. Prime Minister Theresa May today to offer condolences on the terrorist attack in London. She is strong and doing very well.',117267,None,""
@RealDonaldTrump,"RT @mitchellvii: Trump always ends up being right.  It's almost a little freaky.""""""",0,None,""
@RealDonaldTrump,'RT @mitchellvii: EXACTLY AS I SAID - House Intel Chair: We Cannot Rule Out Sr. Obama Officials Were Involved in Trump Surveillance https://\\u2026',0,None,""
@RealDonaldTrump,'Big day for healthcare. Working hard!',89733,None,""
@RealDonaldTrump,"'Today on #NationalAgDay, we honor our great American farmers &amp; ranchers. Their hard work &amp; dedication are ingrained\\u2026 https://t.co/IpGRhly2zj'",66727,None,""
@RealDonaldTrump,'Joined the @HouseGOP Conference this morning at the U.S. Capitol. https://t.co/03e4YBIWr0 #PassTheBill #MAGA\\U0001f1fa\\U0001f1f8\\u2026 https://t.co/3swdFWGQtP',35399,None,""
@RealDonaldTrump,"'Thank you Louisville, Kentucky. Together, we will MAKE AMERICA SAFE AND GREAT AGAIN! https://t.co/qGgWEWUvek'",76084,None,""
@RealDonaldTrump,"'Thank you Louisville, Kentucky- on my way! #MAGA\\U0001f1fa\\U0001f1f8 https://t.co/3QsBsib6kt'",61135,None,""
@RealDonaldTrump,'Congratulations Eric &amp; Lara. Very proud and happy for the two of you! https://t.co/s0T3cTQc40',101480,None,""
@RealDonaldTrump,"'What about all of the contact with the Clinton campaign and the Russians? Also, is it true that the DNC would not let the FBI in to look?'",82330,None,""
@RealDonaldTrump,'Just heard Fake News CNN is doing polls again despite the fact that their election polls were a WAY OFF disaster. Much higher ratings at Fox',90906,None,""
@RealDonaldTrump,'The Democrats made up and pushed the Russian story as an excuse for running a terrible campaign. Big advantage in Electoral College &amp; lost!',88613,None,""
@RealDonaldTrump,'James Clapper and others stated that there is no evidence Potus colluded with Russia. This story is FAKE NEWS and everyone knows it!',71496,None,""
@RealDonaldTrump,'#ICYMI: Weekly Address \\n\\u27a1\\ufe0fhttps://t.co/ckVx2zgA1x https://t.co/dTGZLvlsGv',36449,None,""
@RealDonaldTrump,"'...vast sums of money to NATO &amp; the United States must be paid more for the powerful, and very expensive, defense it provides to Germany!'",87531,None,""
@RealDonaldTrump,"'Despite what you have heard from the FAKE NEWS, I had a GREAT meeting with German Chancellor Angela Merkel. Nevertheless, Germany owes.....'",96255,None,""
@RealDonaldTrump,'Great meeting with the @RepublicanStudy Committee this morning at the @WhiteHouse! https://t.co/8Y2UoHoYaY',46740,None,""
@RealDonaldTrump,"'""The President Changed. So Has Small Businesses\' Confidence""\\nhttps://t.co/daTGjPmYeJ'",51806,None,""
@RealDonaldTrump,"'North Korea is behaving very badly. They have been ""playing"" the United States for years. China has done little to help!'",89908,None,""
@RealDonaldTrump,"'RT @foxandfriends: FOX NEWS ALERT: Jihadis using religious visa to enter US, experts warn (via @FoxFriendsFirst) https://t.co/pwXeR9OMQC'",0,None,""
@RealDonaldTrump,'RT @foxandfriends: VIDEO: Rep. Scalise \\u2014 GOP agrees on over 85 percent of health care bill https://t.co/05dtfjAUbx',0,None,""
@RealDonaldTrump,'RT @AmericaFirstPol: MAJOR IMPACT: @POTUS Trump is 50 Days in and moving swiftly to get America back on the right track. #MAGA \\nhttps://t.c\\u2026',0,None,""
@RealDonaldTrump,'RT @FoxNews: Jobs created in February. https://t.co/sOaMDxxTA8',0,None,""
